,afr,amh,ara,asm,ast,azj,bel,bul,ben,bos,cat,ceb,ces,cym,dan,deu,ell,eng,spa,est,fas,ful,fin,fra,gle,glg,guj,hau,heb,hin,hrv,hun,hye,ind,ibo,isl,ita,jpn,jav,kat,kam,kea,kaz,khm,kan,kor,kur,kir,ltz,lug,lin,lao,lit,luo,lav,mri,mkd,mal,mon,mar,msa,mlt,mya,npi,nld,nob,nso,nya,oci,orm,ory,pan,pol,pus,por,ron,rus,snd,slk,slv,sna,som,srp,swe,swh,tam,tel,tgk,tha,tgl,tur,ukr,umb,urd,uzb,vie,wol,xho,yor,zho_simp,zul,zho_trad
nob,26.16,1.29,13.91,1.17,22.28,6.75,3.1,29.19,18.19,23.12,24.33,7.11,24.78,12.18,34.18,26.72,21.29,37.39,22.07,23.61,18.48,0.5,21.35,32.84,0.35,27.27,0.29,2.81,18.6,22.25,23.56,22.98,2.95,27.17,1.83,16.94,23.5,19.95,12.62,2.03,0.19,2.59,0.64,6.98,0.63,15.16,0.08,1.4,14.42,0.42,0.66,3.72,23.3,2.29,23.09,1.95,27.66,7.64,5.08,7.85,24.41,24.72,2.23,0.22,23.94,-,1.05,6.34,18.72,0.38,0.13,3.44,18.79,7.82,32.66,29.56,21.61,0.06,26.25,23.71,4.67,2.44,23.69,33.36,20.37,1.59,0.41,2.33,9.28,10.08,19.73,21.58,0.8,11.73,1.09,29.42,0.6,2.27,1.18,16.31,2.35,0
nso,4.06,0.7,1.36,0.27,3.59,1.44,0.53,4.81,1.83,2.13,5.41,4.58,3.79,3.35,4.47,4.04,3.96,6.76,4.96,4,2.19,0.39,3.42,5.34,0.84,4.65,0.24,1.87,3.04,2.55,3.75,3.2,0.61,4.25,2.76,3.92,4.97,2.43,1.76,0.35,0.17,0.54,0.71,1.22,0.25,1.66,0.09,0.43,3.8,1.51,1.27,1.3,4.18,2.33,3.27,1.96,4.76,0.76,0.5,1.5,4.41,5.82,0.34,0.45,4.54,4.87,-,2.53,4.42,0.34,0.24,0.48,3.7,0.88,5.98,4.56,3.15,0.17,3.7,3.36,1.94,2.68,3.2,4.25,3.67,0.67,0.25,0.91,0.89,5.47,2.22,3.61,0.83,0.99,0.39,3.84,0.88,3.02,1.08,3.28,2.99,0
nya,12.01,1.15,6.3,0.56,8.49,4.1,4.45,12.49,9.29,8.48,11.49,7.26,9.83,7.22,12.45,10.92,10.12,17.41,10.99,10.35,9.55,0.5,7.99,15.21,0.65,12.63,0.55,3.02,7.87,10.88,9.61,10.1,2.23,13.54,2.78,8.99,10.72,10.85,7.66,1.58,0.26,0.69,1.63,4.82,0.56,7.39,0.05,1.06,7.41,1.14,0.87,3.35,10.4,2.55,9.82,2.77,11.92,4.91,2.17,5.1,13.26,12.84,1.48,1.23,10.2,10.74,1.63,-,9.74,0.34,0.22,2.06,8.59,4.38,14.21,12.9,9.82,0.09,10.42,9.95,5.63,2.65,10.15,11.94,12.37,3.05,0.63,2.17,5.07,9.78,9.32,9.39,0.85,6.29,0.63,14.75,0.79,2.79,1.62,8.51,2.8,0
oci,24.4,0.78,10.62,0.71,24.16,5.75,4.28,28.26,13.19,21.32,27.87,7.54,23.19,10.53,28.38,24.84,21.23,36.95,23.87,21.29,17.02,0.41,18.39,38.16,0.48,30.7,0.28,2.21,16.61,18.47,21.48,20.77,2.53,25.2,1.36,14.25,25.01,17.67,11.45,1.67,0.17,2.29,1.06,4.68,0.62,13.62,0.08,0.89,13.53,0.34,0.66,2.37,21.17,1.66,21.23,1.69,26.23,4.01,3.45,5.85,20.57,20.41,1.55,0.22,21.54,22.33,0.82,3.69,-,0.3,0.14,2.8,17.39,6.56,35.27,29.75,20.77,0.07,24.33,22.72,2.99,1.79,22.56,28.06,10.18,0.87,0.34,1.97,6.17,10.78,15.93,20.94,0.63,8.27,0.76,26.44,0.48,1.78,0.95,15.61,1.94,0
orm,2.63,0.49,0.78,0.16,2.17,0.96,1.2,3.01,1.57,1.23,2.81,1.61,1.93,2.01,2.31,2.32,2.57,3.33,2.79,1.96,2,0.11,1.71,3.12,0.45,2.92,0.37,0.76,1.83,2.23,2.04,2.3,0.59,2.87,0.82,1.93,2.42,1.89,1.79,0.33,0.1,0.18,0.7,0.98,0.27,1.17,0.03,0.3,2.07,0.16,0.47,0.49,2.36,0.8,1.93,0.99,2.88,0.75,0.42,0.89,2.5,3.39,0.27,0.36,2.15,2.28,0.56,1.8,2.51,-,0.1,0.58,2.13,0.73,3.21,2.81,2.08,0.05,2.27,2.14,0.88,1.09,2.03,2.1,2.05,0.53,0.14,0.78,0.83,2.05,1.06,1.91,0.47,1.19,0.21,2.96,0.24,1.14,0.4,2.36,1.24,0
ory,0.76,0.12,0.1,0.07,0.84,0.4,0.48,1.09,0.41,0.63,0.85,0.47,0.55,1.58,0.66,0.45,0.51,0.9,0.68,0.68,0.4,0.02,0.49,0.83,0.34,0.73,0.3,0.24,0.32,0.84,0.48,0.56,0.23,0.68,0.47,0.67,0.65,0.24,0.52,0.19,0.02,0.04,0.23,0.44,0.23,0.25,0.03,0.13,1.18,0.02,0.2,0.22,0.89,0.22,0.8,0.68,0.8,0.26,0.18,0.31,0.49,1.42,0.14,0.45,0.63,0.89,0.22,0.85,0.96,0.09,-,0.93,0.57,0.46,0.69,0.73,0.49,0.03,0.61,0.74,0.43,0.35,0.52,0.67,0.47,0.33,0.07,0.31,0.17,0.93,0.19,0.53,0.2,0.59,0.11,0.29,0.07,0.29,0.14,0.17,0.32,0
pan,4.74,0.82,2.48,0.48,2.88,1.7,2.2,7.4,8.18,1.65,6.3,1.45,4.64,2.57,4.3,4.37,6.46,8.21,5.17,5.62,4.08,0.01,4.42,8.5,0.32,5.79,2.29,0.34,3.45,13.87,2.86,5.51,1.42,5.48,0.72,2.69,6.14,3.23,2.72,1.05,0.05,0.15,1.11,2.03,4.07,2.76,0.02,0.22,3.28,0.09,0.14,0.63,6.18,0.35,6.91,0.6,5.8,3.34,1.05,4.86,5.05,7.65,0.88,4.51,4.48,5.23,0.21,1.99,3.4,0.11,0.15,-,4.15,2.79,8.1,7.49,4.12,0.05,4.93,4.99,1.29,0.46,5.42,4.83,5.07,2.15,0.27,0.98,1.94,3.65,2.8,4.4,0.21,6.03,0.19,6.4,0.05,0.71,0.18,3.32,0.83,0
pol,19.45,1.05,12.17,1.26,19.64,6.56,1.88,27.47,17.07,20.92,21.34,6.97,24.17,9.5,24.05,22.04,19.4,24.55,20.38,21.41,16.54,0.42,18.86,28.78,0.34,24.21,0.39,2.15,16.21,19.17,21.35,20.4,3.15,22.13,1.54,14.16,21.91,18.56,10.71,2.04,0.21,2.3,0.76,5.32,0.65,13.68,0.08,1.53,11.93,0.35,0.73,3.08,23.34,1.94,19.4,1.66,24.61,8.07,4.54,7.93,19.8,19.56,2.06,0.65,20.7,19.05,0.99,4.9,16,0.38,0.16,3.46,-,6.89,26.31,25.79,21.4,0.08,24.36,23.29,3.96,2.09,21.09,23.18,17.2,2.27,0.52,2.77,7.75,7.08,17.33,21.32,0.67,10.61,1.02,25,0.5,2.12,0.85,15.67,2.23,0
pus,13.36,1.63,8.63,1.53,11.66,5.51,6.28,14.55,12.84,9.76,12.62,8,12.58,7.49,14.21,12.15,11.52,17.03,11.68,12.34,12.39,0.17,10.11,16.64,0.78,14.07,2.06,1.67,9.59,15.08,11.49,11.97,3.7,13.67,1.62,8.79,11.49,11.28,7.41,2.71,0.17,0.75,3.59,5.25,1.64,8.26,0.08,1.16,8.83,0.24,0.52,4.47,11.55,1.23,12.55,1.14,14.38,8.02,3.37,7.12,12.61,16.14,2.08,6.7,11.46,11.66,0.76,4.83,10.16,0.21,0.16,4.56,9.5,-,15.72,14.64,10.66,0.09,12.65,11.78,3.1,1.57,13.1,13.24,12.16,5.35,0.57,2.19,6.42,9.41,11.05,11.51,0.39,10.81,0.73,16.48,0.3,1.82,0.7,8.79,1.83,0
por,27.89,1.24,15.34,1.41,28.9,7.54,4.01,32.74,19.71,25.67,30.69,8.14,28.01,12.7,33.82,28.38,24.65,41.53,26.88,26.06,21.43,0.54,22.28,40.17,0.48,33.77,0.23,2.92,20.89,23.84,25.78,24.97,4.35,30.53,1.8,17.13,28.09,21.35,13.73,2.74,0.19,3.4,0.61,7.31,0.98,16.62,0.13,1.73,15.62,0.37,0.67,3.25,26,2.12,26.49,1.83,30.16,8.72,5.63,7.55,26.89,28.52,2.2,0.15,24.49,26.56,1.09,6.21,23.06,0.42,0.06,3.97,20.57,8.77,-,35.25,25.01,0.07,28.57,26.55,5.39,2.5,28.35,32.68,17.89,0.8,0.62,2.83,9.96,10.58,22.69,25.04,0.81,12.64,1.11,31.27,0.71,2.43,1.16,17.58,2.74,0
ron,26.6,1.25,15.45,1.47,25.78,8.19,7.53,33.57,19.84,26.76,28.19,9.58,28.67,11.88,32.37,27.9,24.71,36.61,25.45,26.19,21.11,0.66,22.35,38.95,0.36,32.28,0.44,2.85,20.8,23.56,27.01,26.01,4.23,29.41,1.85,17.06,27.98,21.7,13.32,2.91,0.19,2.96,1.4,6.77,1.09,16.58,0.11,1.82,14.93,0.27,0.8,4.62,26.45,1.99,13.96,1.73,31.35,9.78,5.4,9.3,25.96,26.42,2.29,0.77,24.09,25.9,1.04,6.33,20.96,0.43,0.22,4.06,21.62,8.29,37.43,-,25.32,0.07,29.18,26.8,4.85,2.36,28.75,31.51,21.52,4.14,0.69,3,9.48,12.46,22.81,25.75,0.77,12.56,1.09,31.05,0.62,2.46,1.11,17.99,2.59,0
rus,20.93,1.18,13.52,1.48,20.17,5.86,4.5,31.03,18.15,22.3,21.96,5.14,24.76,9.47,25.94,23.54,21.62,27.48,20.64,23.5,18.61,0.16,19.45,30.15,0.34,25.38,0.35,1.85,18.15,20.86,23.18,21.5,3.93,23.3,1.29,14.15,22.2,20.27,10.57,2.7,0.12,1.69,1.6,6.13,0.92,15.26,0.09,1.81,11.13,0.13,0.42,3.2,25.12,1.2,14.88,1.12,27.14,8.4,5.41,8.4,20.59,21.65,2.18,1.13,20.34,20.43,0.67,4.79,16.23,0.29,0.17,3.78,19.9,7.15,28.76,27.02,-,0.08,25.32,24.63,4.1,1.46,25.81,25.15,18.09,2.26,0.58,3.29,8.17,7.12,13.38,31.24,0.42,12.19,0.97,26.67,0.31,1.66,0.61,16.54,2.03,0
snd,1.29,0.13,0.1,0.09,1.11,0.37,0.66,1.59,1.07,0.77,1.59,0.29,1.16,1.85,1.34,0.55,0.79,1.4,1.28,1.74,0.7,0.01,0.92,1.85,0.27,1.49,0.17,0.2,0.52,0.99,0.81,1.17,0.14,0.8,0.54,0.73,1.32,0.47,0.71,0.2,0.04,0.04,0.25,0.64,0.21,0.44,0.01,0.14,0.74,0.05,0.2,0.32,1.73,0.22,1.7,0.77,1.76,0.35,0.27,0.52,0.82,2.55,0.2,0.4,1.08,1.37,0.11,1.04,1.26,0.08,0.07,0.65,0.9,0.84,1.49,1.19,0.99,-,1.14,1.37,0.33,0.24,0.85,0.99,1.18,0.3,0.11,0.2,0.27,1.16,0.4,1.22,0.2,0.97,0.1,0.84,0.02,0.37,0.21,0.35,0.21,0
slk,24.02,1.12,14.08,1.34,22.16,7.55,2.31,31.56,19.02,26.62,24.19,6.67,34.68,11.01,30.22,26.83,22.03,31.94,22.45,25.85,19.94,0.27,22.2,33.15,0.34,27.93,0.35,2.47,19.41,21.97,27.08,24.57,3.54,26.91,1.64,16.98,24.5,20.43,12.19,2.67,0.2,2.44,0.75,6.43,0.83,15.91,0.11,1.68,13.53,0.34,0.82,3.41,25.92,1.92,11.5,1.75,29.57,9.44,5.33,9.09,23.77,23.22,2.14,0.72,23.61,23.6,0.84,5.84,18.35,0.39,0.13,3.59,22.15,7.65,32.16,29.79,24.66,0.07,-,28.31,4.53,2.11,28.32,29.13,20.04,3.12,0.58,2.82,9.51,8.22,20.49,25.44,0.78,12.58,1.1,29.17,0.46,2.18,1.03,17.33,2.37,0
slv,22.78,1.26,13.47,1.37,20.7,7.14,2.17,30.22,18.21,26.52,23.34,6.63,26.99,10.04,27.63,25.12,21.39,28.82,21.4,24.16,18.1,0.3,20.83,31.17,0.33,26.56,0.33,2.26,17.83,20.97,27.85,23.67,3.74,25.24,1.56,15.37,23.65,19.99,11.6,2.48,0.2,2.16,0.9,5.79,0.74,15.01,0.11,1.66,12.82,0.36,0.63,3.16,24.74,1.81,9.23,1.64,28.86,8.86,4.96,8.25,21.88,21.67,2.13,0.72,22.82,22.11,0.84,5.53,17.16,0.41,0.14,3.36,20.19,7.24,29.98,28.24,23.4,0.07,28.37,-,4.35,2.06,26.77,27.36,19.37,3.29,0.54,2.76,8.58,8.08,19.44,24.05,0.72,12.1,1.14,27.31,0.46,2.13,1.06,16.1,2.33,0
sna,11.51,1.25,5.11,0.51,8.44,3.94,4.75,12.07,9.22,8.82,11.32,6.59,10.08,7.25,12.39,10.26,9.98,16.46,10.68,9.77,9.51,0.38,8.23,14.37,0.64,12.08,0.41,2.82,7.65,10.48,9.25,9.62,2.17,12.86,2.4,8.58,10.69,10.43,6.89,1.44,0.18,0.59,1.75,4.44,0.51,6.76,0.05,0.92,7.1,0.88,0.83,3.22,9.92,2.45,9.26,2.66,11.79,4.67,1.93,5.13,11.84,12.99,1.45,1.09,9.74,10.46,1.18,7.46,9.26,0.31,0.16,2.01,8.1,4.52,13.41,12.43,9.78,0.09,10.29,10.24,-,2.53,10.57,11.28,12.41,2.86,0.62,2.19,4.85,9.59,8.85,9.54,0.67,6.07,0.59,14.06,0.66,3.15,1.54,7.82,3.02,0
som,3.98,0.69,0.75,0.14,3.14,0.66,1.34,3.75,1.7,2.05,4.11,3.51,3.04,3.34,3.66,2.18,3.29,5.21,3.72,3.09,1.82,0.15,2.77,4.81,0.79,3.97,0.42,1.92,2.59,2.75,2.85,2.76,0.6,3.89,2.12,3.28,3.91,1.69,2.77,0.45,0.1,0.28,1.08,1.31,0.36,1.17,0.03,0.26,3.24,0.51,0.78,0.84,3.54,1.53,2.73,1.5,3.73,0.63,0.53,0.98,3.66,4.95,0.35,0.83,3.24,3.87,0.98,2.68,3.26,0.23,0.19,0.72,2.99,0.99,4.88,4.02,2.43,0.06,2.89,2.65,2.04,-,2.69,3.27,3.39,0.58,0.21,0.84,1.01,4.47,1.59,2.57,0.69,1.01,0.4,3.82,0.6,2.24,0.91,2.49,2.81,0
srp,25.54,1.42,15.47,1.66,22.93,7.74,4.21,35.28,20.5,32.11,25.34,7.77,29.35,10.92,31.55,27.52,24.09,34.1,22.53,26.45,20.99,0.21,21.29,35.07,0.33,29.43,0.35,2.13,21.21,23.43,31.07,24.71,4.18,28.04,1.44,15.9,24.46,21.26,12.32,2.9,0.11,1.54,1.01,6.51,1.04,16.66,0.08,1.98,14.03,0.13,0.34,4.07,27.03,1.33,11.08,1.16,36.01,10.33,6.15,9.67,23.96,24.89,2.28,0.84,22.81,24.02,0.61,5.86,19.18,0.3,0.22,4.12,21.8,8.12,33.27,31.24,26.59,0.07,30.22,29.59,4.43,1.64,-,30.08,21.59,4.43,0.61,3.28,9.22,9.96,20.77,27.73,0.48,13.56,0.92,29.25,0.29,1.92,0.73,17.42,2.08,0
swe,28.93,1.32,15.07,1.63,24.11,8.07,9.37,33.26,20.13,26.15,26.73,11.08,28,12.62,39.53,30.33,23.23,40.05,23.55,26.99,20.54,0.77,24.52,36.67,0.35,30.48,0.59,3.09,20.79,23.51,26.44,25.49,4.98,30.2,2.03,18.29,25.54,21.54,13.75,3.17,0.21,2.99,1.83,7.26,1.17,16.74,0.12,2.17,16.5,0.37,0.85,5.09,25.8,2.44,14.91,1.98,30.5,10.7,5.59,9.58,26.64,26.33,2.61,0.66,26.03,30.96,1.26,7.15,19.94,0.48,0.19,4.63,20.52,8.51,35.87,32.78,24.72,0.09,28.6,26.46,5.59,2.7,28.94,-,22.21,4.05,0.82,3.53,9.96,13.9,21.84,25.07,0.73,13.17,1.2,30.93,0.69,2.8,1.26,17.36,2.82,0
swh,20.51,1.25,11.97,1.3,16.04,6.07,7.29,23.75,16.43,18.11,20.08,7.3,19.96,10.83,23.92,19.4,17.44,30.43,17.19,18.21,16.42,0.33,15.62,26.69,0.65,21.48,0.51,2.72,15.08,19.19,18.46,17.48,3.77,24.52,1.97,14.1,17.73,16.79,12.18,2.32,0.21,1.55,1.23,6.74,1.05,12.17,0.1,1.08,11.6,0.37,0.65,4.39,18.77,2.42,19.58,1.95,22.06,7.35,4.09,8.1,22.9,20.96,2.08,1.12,17.77,18.91,1.12,6.75,15.33,0.32,0.18,3.85,14.64,7.4,25.67,24.08,17.57,0.09,20.09,18.98,5.24,2.13,20.57,23.24,-,4.05,0.55,2.58,8.44,10.81,16.43,18.33,0.76,10.99,0.89,25.34,0.34,2.71,1.29,13.15,2.73,0
tam,5.79,0.71,1.15,0.26,3.52,1.77,1.91,6.99,4.66,5.64,5.85,1.26,4.98,4.17,5.37,4.89,5.95,8.35,5.33,6.7,4.31,0.04,4.97,6.85,0.38,6.11,0.41,0.73,3.52,6.87,4.75,4.88,1.3,5.34,0.72,4.2,5.71,2.42,3.12,0.96,0.04,0.17,0.37,2.61,1.45,2.32,0.04,0.24,2.85,0.03,0.29,0.92,6.42,0.53,7.18,0.92,6.13,3.13,1.97,3.15,4.89,6.48,1.19,0.51,5,5.14,0.29,1.97,4.1,0.14,0.15,2.98,4.13,3.54,7,6.86,4.66,0.04,5.69,5.47,1.71,0.5,5.55,6.21,5.24,-,0.3,0.56,1.75,3.25,2.59,5.1,0.19,4.78,0.22,5.28,0.06,0.82,0.34,2.5,0.76,0
tel,10.35,1.05,4.77,0.84,5.47,4.23,2.8,11.71,11.04,7.16,9.87,2.45,8.79,5.52,10.37,8.79,8.55,15.06,9,9.26,8.75,0.07,7.26,13.16,0.33,10.31,0.48,1.28,7.29,12.98,8.08,8.64,1.78,10.66,0.89,6.8,8.68,8.84,4.78,1.32,0.09,0.31,0.96,2.89,1.56,7.1,0.04,0.55,6.28,0.15,0.22,1.58,9.46,0.9,9.54,1,10.65,6.18,2.24,6.66,9.2,9.77,1.39,0.71,8.95,8.9,0.46,2.57,6.71,0.15,0.21,3.94,6.81,4.35,12.76,11.75,8.55,0.07,8.81,8.84,2.39,0.89,9.31,10.52,8.9,3.19,-,1.49,3.67,3.91,7.62,8.66,0.34,7.35,0.46,13.51,0.21,1.32,0.6,6.4,1.2,0
tgk,7.73,0.59,2.55,0.19,4.55,2.48,4.35,11.49,5.06,6.02,8.85,1.57,7.79,4.31,8.69,7.84,9.09,10.45,8.94,8.18,7.27,0.04,7.14,11.53,0.33,10.23,0.27,0.85,6.65,7.27,6.89,7.72,1.32,8.29,0.92,5.75,8.69,4.72,3.82,1.04,0.07,0.21,1.59,2.41,0.47,4.11,0.02,0.58,4.81,0.07,0.2,0.83,8.49,0.68,8.57,0.91,10.25,1.9,1.73,2.37,6.56,9.02,0.83,0.73,7.19,7.73,0.26,2.82,6.06,0.09,0.07,1.51,7.12,2.55,10.85,10.27,9.43,0.03,8.37,8.35,1.86,0.72,8.88,8.66,6.16,1.22,0.22,-,2.66,4.75,4.3,9.77,0.32,3.73,0.37,10.6,0.1,1.17,0.38,5.33,1.17,0
tha,11.91,1.46,8.59,0.92,10.28,5.06,5.34,15.34,12.61,10.16,12.29,5.27,12.17,6.9,14.59,11.74,11.5,16.25,12.47,12.16,12.03,0.36,10.38,15.92,0.61,14.09,1.3,1.44,9.45,13.79,11.68,12.31,2.85,15.74,1.5,9.87,12.08,12.35,6.5,2.23,0.13,0.93,2.22,10.98,1.16,9.35,0.06,0.89,7.31,0.41,0.73,5.77,12.47,1.01,13.12,1.26,14.34,6.67,3.27,6.35,13.7,15.81,3.9,5.26,11.89,11.97,0.83,4.55,9.09,0.3,0.16,3.47,10.49,5.16,15.86,15.3,11.62,0.06,12.81,12.34,3.38,1.38,12.88,13.32,11.65,4.24,0.53,2.23,-,8.2,10.92,11.59,0.51,8.18,0.65,19.23,0.51,1.86,0.72,11.07,1.92,0
tgl,17.48,1.55,8.04,0.76,14.54,5.43,6.64,18.38,13.06,13.88,17.21,15.24,14.65,10.62,18.18,15.81,14.69,26.07,15.74,15.25,12.7,0.48,12.48,22.02,0.66,19.07,0.4,3.22,12.2,15.16,14.02,14.18,3.45,20.44,2.2,11.53,16.22,13.01,11.61,2.31,0.22,1.4,2.5,6.13,1.14,9.24,0.09,1.14,11.28,0.43,0.87,4.12,14.98,2.65,14.86,2.04,18,5.8,4.28,6.7,18.02,20.2,2.15,1.04,14.49,15.34,1.45,6.98,13.89,0.3,0.17,3.89,12.4,6.71,21.7,19.14,13.19,0.09,15.27,14.81,5.12,2.87,16.38,17.36,15.38,3.46,0.61,2.83,7.39,-,12.58,14.62,0.75,8.51,0.9,20.59,0.52,3.38,1.52,10.76,3.44,0
tur,21.17,1.22,13.09,1.43,18.05,7.58,1.81,25.89,18.18,19.96,21.5,6.32,21.8,10.22,25.75,22.13,19.84,28.78,19.78,21.41,18.72,0.42,18.27,29.69,0.44,24.15,0.41,2.29,17.02,20.68,20.5,21.1,2.83,24.68,1.46,14.5,21.48,19.66,11.23,1.93,0.2,1.98,0.46,6.19,0.79,15.25,0.12,1.23,11.04,0.48,0.64,2.65,21.55,1.98,21.99,1.71,24.13,5.98,5.04,4.75,21.88,20.72,2.38,0.25,20.19,19.93,0.88,5.18,15.3,0.35,0.14,3.58,16.9,7.51,28.57,26.52,18.05,0.09,22.92,21.6,4.08,1.93,21.45,24.49,16.5,1.71,0.53,1.92,8.74,6.52,-,19.85,0.62,11.28,0.97,26.87,0.59,2.07,1.1,15.38,2.38,0
ukr,22.88,1.39,14.01,1.72,20.68,7.36,8.39,32.58,19.41,24.65,23.36,6.17,27.15,10.18,27.59,25.03,21.82,30.36,21.21,24.53,19.09,0.19,20.07,31.6,0.33,26.1,0.34,1.86,19.56,22.09,25.03,22.54,4.07,25.28,1.4,15.27,23.04,20.21,11.24,2.71,0.1,1.45,1.29,5.68,0.84,15.71,0.09,2.11,12.37,0.13,0.36,3.38,26.27,1.23,12.71,1.17,29.54,8.76,6.3,8.99,21.82,23.06,2.12,0.96,21.77,21.18,0.47,5.38,17.38,0.26,0.19,3.87,20.72,7.72,30.47,28.71,32.3,0.06,27.48,25.49,4.6,1.66,28.74,26.95,19.7,2.74,0.49,3.69,8.64,7.34,18.72,-,0.36,12.67,0.88,27.88,0.31,1.77,0.69,16.78,1.91,0
umb,4.16,0.44,1,0.21,3.39,1.16,1.38,4.51,2.01,2.14,4.26,2.57,3.27,2.71,3.67,3.12,3.85,4.62,4.55,3.22,2.52,0.19,2.63,5.25,0.47,4.65,0.24,1.38,2.99,2.93,3.07,3.39,0.72,4.12,1.42,3.46,4.01,3.09,2.46,0.46,0.13,0.48,1.05,1.17,0.17,1.86,0.02,0.41,3.22,0.28,0.68,0.92,3.66,1.65,2.66,1.6,4.08,0.93,0.57,1.26,3.97,4.39,0.39,0.65,3.69,3.73,0.89,2.56,3.85,0.31,0.13,0.6,3.21,0.83,5.75,4.49,3.44,0.05,3.54,3.34,1.61,1.62,3.21,3.67,3.35,0.51,0.21,0.97,1.46,3.63,1.73,3.17,-,1.37,0.4,4.48,0.47,1.81,0.79,3.56,2.01,0
urd,13.25,0.94,7.56,1.05,9.5,3.68,2.11,17,15.38,12.74,13.91,2.79,14.08,6.66,15.72,13.65,13.23,18.9,12.32,14.04,13.62,0.06,11.75,18.23,0.36,14.13,0.34,0.98,11.4,21.45,12.68,13.57,2.8,14.64,0.97,9.64,13.16,11.7,5.83,1.77,0.09,0.35,0.59,4.26,1.36,10.16,0.06,0.61,6.73,0.06,0.2,1.55,14.21,0.5,15,0.8,15.75,5.37,3.39,7.44,12.56,13.99,1.76,0.49,12.8,12.12,0.41,3.27,9.77,0.13,0.13,5.72,10.33,7.86,17.37,16.48,12.22,0.11,14.31,13.52,2.56,0.72,13.65,15.66,11.36,3.02,0.39,1.24,5.22,3.98,9.8,12.21,0.21,-,0.31,18.42,0.08,1.23,0.39,10.32,1.35,0
uzb,1.67,0.41,0.47,0.12,1.84,0.83,1.33,3.2,1.12,1.72,1.73,0.95,2.02,2.07,1.75,1.08,2.42,1.83,2.61,2.67,1.07,0.04,1.67,3.06,0.42,2.53,0.28,0.46,1.29,1.49,1.61,1.77,0.27,1.8,0.62,1.92,2.52,1.23,1.14,0.29,0.1,0.16,1.49,0.7,0.17,0.77,0.02,0.33,2.19,0.1,0.29,0.37,2.39,0.5,2.66,0.74,3.19,0.56,0.56,0.79,1.4,3.05,0.33,0.69,2.02,1.93,0.33,1.1,1.85,0.09,0.15,0.73,1.82,0.66,2.63,1.92,1.82,0.02,1.99,1.84,0.73,0.4,2.03,1.58,1.56,0.32,0.11,0.35,0.48,1.78,0.95,2.13,0.25,0.75,-,1.2,0.13,0.6,0.3,1.11,0.69,0
vie,21.15,1.2,13.07,1.45,19.36,7.12,5.69,26.29,17.64,20.48,21.37,8.13,22.18,10.85,25.91,21.23,19.42,29.51,19.22,20.82,18.1,0.61,18.21,28.52,0.43,24.28,0.46,2.74,16.77,20.35,20.52,20.55,4.12,27.1,1.99,15.47,20.59,20.21,13,2.18,0.19,2.56,1.16,6.96,0.93,15.22,0.09,1.6,11.67,0.45,0.87,3.78,21.35,2.25,11.32,1.94,24.48,6.82,4.95,7.12,24.01,21.77,2.08,0.52,19.74,20.72,1.11,6.1,16.14,0.38,0.1,3.84,17,7.3,27.7,25.79,19.61,0.08,22.93,21.16,4.48,2.39,21.3,24.64,17.21,1.22,0.69,2.86,9.86,7.49,18.99,20.7,0.8,11.06,1.15,-,0.65,2.49,1.2,17.2,2.64,0
wol,3.09,0.38,0.41,0.18,2.95,0.66,0.74,3.26,1.13,1.55,3.27,3.11,2.54,2.28,1.41,2.81,2.6,4.12,3.98,2.7,1.07,0.4,2.36,4.45,1.01,3.46,0.22,1.18,1.51,1.38,2.59,1.91,0.3,3.57,1.63,2.76,3.62,1.65,2.02,0.16,0.14,0.46,0.77,0.94,0.16,0.83,0.05,0.24,2.27,1.42,1.04,0.79,2.98,1.4,2,1.04,2.77,0.53,0.28,0.74,2.85,3.38,0.13,0.44,3.86,3.94,1.41,0.92,2.94,0.2,0.19,0.26,2.75,0.63,3.75,3.25,1.98,0.07,1.99,1.93,1.18,1.54,2.13,2.61,2.13,0.47,0.14,0.27,0.57,3.33,1.29,1.92,0.61,0.47,0.28,2.18,-,1.86,0.58,2.15,1.89,0
xho,6.37,1.64,2.33,0.3,4.74,1.45,2.11,7.01,3.57,3.53,6.96,5.2,5.22,4.95,6.57,5.31,6.15,10.86,6.83,5.44,4.48,0.39,4.6,8.28,0.71,7.09,0.57,2.51,4.68,4.68,5.08,5.33,1.32,6.83,3.8,5.36,6.4,4.05,3.5,0.62,0.11,0.28,1.4,2.28,0.46,2.54,0.05,0.47,4.31,0.85,0.97,1.6,5.33,2.17,4.85,2.03,6.59,1.69,0.94,2.16,6.09,8.55,0.69,1.72,5.81,6.2,1.51,4.87,5.39,0.27,0.26,1.24,5.24,1.75,8.5,7.1,5.08,0.07,5.07,4.95,4.08,3.19,5.2,6.45,6.14,1.31,0.4,1.41,2.64,6.99,4.04,5.2,0.79,2.51,0.59,7.69,0.77,-,1.92,4.7,10.31,0
